idArticulo,ARIMA,LR,DL,DT,XGB,model,rmse,hyper,trustworthy
filtrodepresio,0.34191232729515675,1.2236946739508525,1.4405673254713187,0.36334156840772597,0.2656038055288047,XGB,0.2656038055288047,"{'n_lags': 6, 'max_depth': 3, 'random_state': 2184, 'gamma': 0.9615805068917203, 'n_estimators': 2}",True
bateriascanrec,0.5191324020403094,0.47469549464795685,0.32161331408897004,1.732953082371883,1.088755613966066,DL,0.32161331408897004,"{'n_lags': 12, 'random_state': 1458, 'optimizer': 'RMSprop', 'learning_rate': 0.0001, 'n_epochs': 150}",False
filtrodeair,10.0,1.3455666133916961,10.0,10.0,0.330043880531837,XGB,0.330043880531837,"{'n_lags': 5, 'max_depth': 4, 'random_state': 1202, 'gamma': 0.5849827587465187, 'n_estimators': 5}",False
soport,0.6511106235970521,0.5859230029534646,0.585228707295689,0.7974443969590689,0.5423296156063029,XGB,0.5423296156063029,"{'n_lags': 5, 'max_depth': 6, 'random_state': 1653, 'gamma': 0.58033015370564, 'n_estimators': 10}",False
arandel,10.0,0.5558492041305272,0.7029260309055716,0.6862160328925244,0.8446895390586892,LR,0.5558492041305272,{'n_lags': 5},False
filtroderetorn,0.6343096652202128,10.0,0.6763371543992182,2.959394087081379,1.3829890152329534,ARIMA,0.6343096652202128,"{'ar': 5, 'ii': 2, 'ma': 2}",True
tuerc,0.6402970286104878,10.0,0.8519980924299163,1.7556097650095557,1.0825452387375536,ARIMA,0.6402970286104878,"{'ar': 4, 'ii': 0, 'ma': 1}",False
pern,10.0,0.917012589208798,0.9759965009980692,0.7658477023349326,1.0490031151795107,DT,0.7658477023349326,"{'n_lags': 10, 'max_depth': 8, 'random_state': 1748, 'ccp_alpha': 0.03564701729313271}",False
